Date,active_kcal,total_steps,total_distance,highly_active_seconds,active_seconds,floorAscended,floorDescended,min_heart_rate,max_heart_rate,resting_heart_rate,AverageStressLevel_TOTAL,MaxStressLevel_TOTAL,activityDuration,bodybattery_highest,bodybattery_lowest,averageMonitoringEnvironmentAltitude,sweat_loss,respiration_value
2023-09-05,707.0,8714.0,7137.0,853.0,7139.0,13.528,10.321,50.0,154.0,57.0,38.0,99.0,15420.0,92.0,12.0,568.0,1055.0,13.0
2023-09-06,1929.0,4131.0,78323.0,316.0,3414.0,6.92,8.126,51.0,177.0,57.0,30.0,99.0,9120.0,76.0,11.0,573.0,2693.0,13.0
2023-09-07,956.0,14872.0,12180.0,84.0,13002.0,28.039,45.169,52.0,163.0,57.0,30.0,95.0,16980.0,72.0,9.0,568.0,1308.0,13.0
2023-09-08,2115.0,8613.0,65077.0,1226.0,8094.0,13.037,2.461,51.0,183.0,56.0,28.0,99.0,12660.0,79.0,19.0,516.0,2008.0,14.0
2023-09-09,1749.0,17359.0,15660.0,3120.0,11650.0,6.096,51.766,64.0,186.0,56.0,65.0,99.0,17760.0,66.0,6.0,539.0,584.0,13.0
2023-09-10,1500.0,15473.0,30307.0,338.0,15260.0,28.987,26.546,55.0,171.0,57.0,36.0,98.0,18840.0,34.0,5.0,553.0,1421.0,13.0
2023-09-11,1241.0,16725.0,14928.0,2884.0,7893.0,52.621,82.355,47.0,167.0,56.0,21.0,99.0,13380.0,100.0,15.0,536.0,1417.0,13.0
2023-09-12,744.0,9060.0,7529.0,612.0,8258.0,3.757,0.0,49.0,135.0,56.0,32.0,99.0,14460.0,93.0,18.0,532.0,,13.0
2023-09-13,984.0,12301.0,10143.0,879.0,8874.0,33.528,46.895,49.0,150.0,56.0,30.0,99.0,13380.0,91.0,17.0,549.0,1331.0,13.0
2023-09-14,1293.0,7904.0,41508.0,1034.0,5777.0,4.208,50.562,48.0,171.0,55.0,31.0,99.0,9780.0,92.0,13.0,559.0,837.0,13.0
2023-09-15,956.0,15492.0,12695.0,770.0,11400.0,61.916,7.793,54.0,147.0,56.0,43.0,99.0,19740.0,39.0,5.0,591.0,915.0,13.0
2023-09-16,2239.0,29525.0,21055.0,2037.0,20911.0,1137.669,1075.499,53.0,176.0,55.0,43.0,99.0,24120.0,38.0,5.0,1544.0,2662.0,13.0
2023-09-17,1682.0,16759.0,15309.0,3575.0,14921.0,41.905,42.959,68.0,151.0,55.0,61.0,100.0,19080.0,15.0,5.0,1420.0,,14.0
2023-09-18,496.0,6149.0,5077.0,270.0,5638.0,7.478,17.301,51.0,144.0,56.0,26.0,93.0,11220.0,78.0,5.0,1087.0,833.0,13.0
2023-09-19,1396.0,8835.0,58703.0,948.0,4464.0,38.445,37.969,53.0,180.0,57.0,33.0,96.0,10620.0,83.0,12.0,502.0,1444.0,13.0
2023-09-20,1156.0,14937.0,12280.0,2330.0,8850.0,57.912,37.034,52.0,158.0,57.0,36.0,99.0,18120.0,63.0,10.0,471.0,1015.0,13.0
2023-09-21,932.0,11648.0,17469.0,1227.0,6864.0,29.796,31.739,51.0,168.0,58.0,34.0,99.0,16980.0,51.0,7.0,503.0,1108.0,13.0
2023-09-22,1130.0,13801.0,11412.0,2449.0,7988.0,41.096,30.251,51.0,144.0,58.0,38.0,99.0,18240.0,70.0,5.0,461.0,979.0,13.0
2023-09-23,2002.0,23626.0,19688.0,3169.0,17666.0,88.392,97.412,61.0,153.0,58.0,51.0,100.0,22020.0,14.0,5.0,429.0,770.0,13.0
2023-09-24,1299.0,11496.0,19684.0,3373.0,2915.0,44.535,52.52,49.0,171.0,57.0,22.0,99.0,12240.0,97.0,5.0,456.0,884.0,13.0
2023-09-25,897.0,10053.0,15681.0,1083.0,6405.0,19.826,31.695,49.0,161.0,57.0,28.0,99.0,14100.0,90.0,23.0,497.0,1183.0,13.0
2023-09-26,1237.0,8932.0,40704.0,1385.0,4482.0,34.233,26.254,55.0,180.0,58.0,45.0,100.0,12180.0,87.0,12.0,499.0,839.0,13.0
2023-09-27,936.0,16117.0,14643.0,2827.0,7556.0,83.653,58.654,54.0,185.0,57.0,41.0,97.0,16080.0,62.0,5.0,490.0,465.0,13.0
2023-09-28,1553.0,16616.0,20368.0,1654.0,11775.0,57.912,44.964,55.0,183.0,58.0,37.0,98.0,18600.0,47.0,5.0,474.0,1234.0,13.0
2023-09-29,1290.0,15884.0,18214.0,997.0,11989.0,54.909,44.038,57.0,157.0,58.0,41.0,100.0,18000.0,24.0,5.0,494.0,317.0,13.0
2023-09-30,659.0,8414.0,10669.0,1239.0,3353.0,32.716,28.509,50.0,165.0,57.0,31.0,99.0,11400.0,78.0,5.0,540.0,208.0,13.0
2023-10-01,1968.0,30128.0,22002.0,2359.0,21867.0,1038.437,1027.239,50.0,162.0,58.0,34.0,94.0,25680.0,68.0,12.0,1045.0,4600.0,13.0
2023-10-02,867.0,11949.0,9813.0,1487.0,8247.0,98.833,70.093,56.0,158.0,59.0,33.0,95.0,15720.0,83.0,19.0,534.0,1123.0,13.0
2023-10-03,1120.0,6877.0,40757.0,942.0,3177.0,49.569,33.545,51.0,176.0,58.0,32.0,95.0,7860.0,69.0,8.0,525.0,889.0,13.0
2023-10-04,1063.0,11115.0,9103.0,1154.0,8745.0,85.981,72.881,52.0,152.0,58.0,33.0,99.0,13800.0,73.0,6.0,514.0,836.0,13.0
2023-10-05,469.0,10210.0,8362.0,585.0,6355.0,66.442,60.342,55.0,125.0,58.0,43.0,95.0,12360.0,36.0,5.0,504.0,,13.0
2023-10-06,990.0,11944.0,9856.0,772.0,9177.0,91.44,68.136,51.0,165.0,57.0,23.0,96.0,14220.0,57.0,5.0,524.0,1299.0,13.0
2023-10-07,430.0,6428.0,5265.0,288.0,5818.0,2.339,10.973,73.0,120.0,58.0,72.0,98.0,6660.0,30.0,5.0,537.0,,14.0
2023-10-08,1414.0,,15034.0,,,,,,,,,,,,,,3266.0,
2023-10-09,833.0,9761.0,7994.0,1321.0,7164.0,69.206,44.566,61.0,155.0,59.0,33.0,99.0,12240.0,84.0,12.0,534.0,1156.0,13.0
2023-10-10,1396.0,8679.0,50307.0,550.0,5119.0,55.276,37.175,53.0,171.0,58.0,28.0,93.0,10020.0,75.0,8.0,522.0,1148.0,13.0
2023-10-11,893.0,12748.0,10452.0,1318.0,8313.0,123.705,76.675,51.0,149.0,59.0,31.0,97.0,13800.0,75.0,8.0,527.0,900.0,13.0
2023-10-12,838.0,12191.0,9608.0,2306.0,5865.0,93.131,87.626,49.0,170.0,58.0,27.0,98.0,12600.0,76.0,14.0,524.0,1037.0,13.0
2023-10-13,583.0,8542.0,7079.0,1031.0,5496.0,40.243,57.378,52.0,153.0,58.0,28.0,91.0,11100.0,76.0,17.0,543.0,635.0,13.0
2023-10-14,312.0,9863.0,8186.0,872.0,4976.0,6.38,13.065,65.0,122.0,58.0,59.0,92.0,13020.0,59.0,10.0,539.0,,13.0
2023-10-15,612.0,6537.0,5412.0,549.0,5677.0,7.565,21.623,51.0,149.0,58.0,33.0,91.0,11760.0,75.0,5.0,566.0,1164.0,13.0
2023-10-16,970.0,12675.0,10648.0,1125.0,7519.0,45.72,47.447,50.0,150.0,56.0,28.0,96.0,15600.0,93.0,15.0,559.0,775.0,13.0
2023-10-17,443.0,9795.0,8022.0,1359.0,6228.0,65.233,53.982,50.0,127.0,56.0,33.0,90.0,14460.0,52.0,6.0,477.0,,13.0
2023-10-18,1037.0,12268.0,10373.0,2304.0,8146.0,77.209,89.621,53.0,153.0,57.0,32.0,98.0,17880.0,62.0,5.0,483.0,1063.0,13.0
2023-10-19,485.0,10417.0,8583.0,1685.0,4818.0,91.769,78.703,53.0,140.0,57.0,37.0,98.0,14880.0,46.0,5.0,524.0,,13.0
2023-10-20,998.0,13964.0,11543.0,1340.0,9668.0,67.538,106.835,68.0,140.0,60.0,54.0,100.0,19920.0,12.0,5.0,618.0,,13.0
2023-10-21,645.0,8565.0,7310.0,904.0,4485.0,20.407,49.455,51.0,149.0,59.0,36.0,99.0,17460.0,82.0,5.0,510.0,,13.0
2023-10-22,2101.0,10059.0,48347.0,894.0,10373.0,74.269,81.289,51.0,177.0,59.0,28.0,96.0,13920.0,87.0,8.0,449.0,2228.0,12.0
2023-10-23,836.0,9332.0,7702.0,1209.0,7459.0,95.645,60.547,49.0,167.0,59.0,35.0,97.0,12300.0,70.0,10.0,427.0,1176.0,13.0
2023-10-24,964.0,11410.0,9349.0,2109.0,5933.0,71.121,71.239,52.0,161.0,59.0,36.0,90.0,11460.0,55.0,6.0,415.0,972.0,13.0
2023-10-25,985.0,9009.0,7424.0,1047.0,7088.0,67.056,48.54,52.0,160.0,59.0,39.0,99.0,12120.0,63.0,6.0,444.0,914.0,13.0
2023-10-26,429.0,7465.0,6114.0,1302.0,3714.0,39.624,38.655,48.0,153.0,58.0,49.0,95.0,10500.0,78.0,17.0,434.0,,13.0
2023-10-27,750.0,12028.0,10082.0,1000.0,9287.0,58.354,84.171,57.0,150.0,56.0,43.0,98.0,16980.0,29.0,5.0,381.0,,13.0
2023-10-28,1104.0,13888.0,11691.0,1448.0,9456.0,40.3,52.145,52.0,173.0,56.0,32.0,99.0,14820.0,80.0,5.0,328.0,1110.0,13.0
2023-10-29,1769.0,17046.0,22761.0,3392.0,10253.0,178.649,157.183,52.0,183.0,56.0,40.0,97.0,19560.0,78.0,6.0,466.0,1801.0,14.0
2023-10-30,925.0,9662.0,7957.0,829.0,7599.0,29.512,41.931,52.0,181.0,57.0,34.0,96.0,13440.0,38.0,5.0,438.0,1304.0,14.0
2023-10-31,862.0,11552.0,9965.0,2353.0,5628.0,74.076,72.213,53.0,174.0,57.0,30.0,94.0,14160.0,60.0,5.0,393.0,1105.0,14.0
2023-11-01,923.0,11652.0,9650.0,1465.0,7620.0,82.73,77.866,52.0,159.0,58.0,44.0,97.0,12660.0,78.0,13.0,446.0,978.0,14.0
2023-11-02,26.0,784.0,692.0,370.0,0.0,14.586,17.561,63.0,102.0,,-1.0,,420.0,13.0,13.0,593.0,,18.0
2023-11-03,815.0,5078.0,4211.0,828.0,4410.0,9.144,13.688,65.0,182.0,58.0,69.0,92.0,5460.0,85.0,21.0,538.0,1248.0,15.0
2023-11-04,0.0,,,0.0,0.0,0.0,0.0,,,,-1.0,,,,,597.0,,
2023-11-05,796.0,7181.0,6076.0,693.0,6898.0,11.138,15.138,57.0,161.0,61.0,51.0,93.0,15720.0,67.0,13.0,570.0,1435.0,13.0
2023-11-06,933.0,8986.0,7686.0,2579.0,5289.0,59.249,56.723,53.0,168.0,61.0,23.0,90.0,9540.0,63.0,7.0,460.0,1113.0,14.0
2023-11-07,334.0,5656.0,3502.0,679.0,4212.0,21.671,15.25,71.0,124.0,62.0,74.0,98.0,5820.0,26.0,7.0,368.0,271.0,13.0
2023-11-08,536.0,6630.0,5609.0,1843.0,2955.0,31.626,12.404,53.0,156.0,62.0,27.0,90.0,10320.0,58.0,6.0,319.0,872.0,14.0
2023-11-09,15.0,1346.0,1125.0,231.0,291.0,0.0,2.332,59.0,102.0,62.0,42.0,84.0,3720.0,29.0,16.0,333.0,,13.0
2023-11-10,573.0,5311.0,4444.0,827.0,4581.0,22.861,15.29,56.0,150.0,63.0,29.0,57.0,6060.0,80.0,24.0,312.0,1074.0,16.0
2023-11-11,879.0,5458.0,4520.0,563.0,4382.0,42.865,0.0,45.0,160.0,64.0,51.0,97.0,5760.0,67.0,31.0,309.0,1144.0,15.0
2023-11-12,805.0,10088.0,8231.0,2913.0,4013.0,15.658,17.425,53.0,173.0,64.0,33.0,85.0,12240.0,65.0,27.0,307.0,1030.0,13.0
2023-11-13,614.0,5853.0,4850.0,488.0,4837.0,14.073,6.033,56.0,172.0,64.0,27.0,84.0,7080.0,88.0,18.0,235.0,1023.0,14.0
2023-11-14,497.0,6732.0,3934.0,935.0,5512.0,15.24,2.815,50.0,147.0,63.0,11.0,94.0,7920.0,95.0,22.0,214.0,578.0,14.0
2023-11-15,666.0,6704.0,5523.0,1554.0,5082.0,38.635,19.814,37.0,161.0,65.0,53.0,83.0,7920.0,85.0,16.0,187.0,1020.0,15.0
2023-11-16,653.0,2618.0,2144.0,109.0,3383.0,5.273,0.0,52.0,163.0,63.0,19.0,83.0,4740.0,71.0,15.0,257.0,1269.0,14.0
2023-11-17,826.0,8417.0,7545.0,1642.0,4988.0,25.991,24.491,70.0,160.0,63.0,82.0,96.0,7200.0,35.0,12.0,279.0,1127.0,14.0
2023-11-18,931.0,12760.0,10480.0,220.0,10967.0,39.624,45.842,67.0,148.0,63.0,49.0,99.0,14040.0,51.0,5.0,443.0,,13.0
2023-11-19,972.0,5457.0,4544.0,250.0,6753.0,5.084,7.745,61.0,160.0,64.0,59.0,97.0,11340.0,56.0,5.0,493.0,1510.0,14.0
2023-11-20,1273.0,17938.0,15855.0,3345.0,9404.0,79.248,70.265,55.0,171.0,65.0,43.0,94.0,18480.0,77.0,14.0,511.0,1355.0,14.0
2023-11-21,191.0,4695.0,3923.0,620.0,2418.0,6.751,23.717,63.0,119.0,67.0,61.0,93.0,5520.0,83.0,18.0,551.0,,13.0
2023-11-22,526.0,5199.0,4267.0,609.0,4333.0,21.336,37.39,68.0,157.0,67.0,36.0,80.0,4260.0,86.0,17.0,531.0,973.0,13.0
2023-11-23,878.0,6233.0,5613.0,1350.0,3919.0,21.336,8.965,51.0,174.0,67.0,20.0,80.0,6420.0,72.0,12.0,565.0,1444.0,14.0
2023-11-24,600.0,6601.0,5406.0,567.0,4849.0,20.502,36.231,55.0,157.0,67.0,32.0,99.0,5460.0,12.0,6.0,616.0,,14.0
2023-11-25,251.0,5408.0,4480.0,430.0,3252.0,17.546,14.677,61.0,128.0,69.0,48.0,97.0,9240.0,34.0,12.0,570.0,,13.0
2023-11-26,1274.0,6553.0,22886.0,336.0,3647.0,20.198,12.907,50.0,174.0,67.0,26.0,99.0,6120.0,83.0,11.0,529.0,771.0,13.0
2023-11-27,849.0,8014.0,7600.0,2525.0,2527.0,36.576,39.465,50.0,182.0,65.0,25.0,81.0,4440.0,64.0,15.0,460.0,533.0,13.0
2023-11-28,453.0,6528.0,5492.0,1336.0,4907.0,7.532,12.1,32.0,146.0,63.0,20.0,60.0,6180.0,69.0,14.0,418.0,,14.0
2023-11-29,1014.0,7860.0,6473.0,380.0,5045.0,40.966,42.085,49.0,180.0,63.0,78.0,98.0,6240.0,26.0,11.0,389.0,334.0,13.0
2023-11-30,101.0,728.0,596.0,13.0,1038.0,7.966,7.232,56.0,121.0,64.0,28.0,96.0,1920.0,47.0,7.0,403.0,,13.0
2023-12-01,877.0,4306.0,3555.0,225.0,4992.0,21.336,21.674,86.0,166.0,64.0,74.0,88.0,4860.0,30.0,18.0,375.0,1443.0,14.0
2023-12-02,162.0,2759.0,2260.0,152.0,1106.0,11.441,13.053,74.0,113.0,62.0,61.0,89.0,2700.0,49.0,16.0,343.0,,13.0
2023-12-03,1309.0,9261.0,7726.0,509.0,9883.0,14.622,26.234,66.0,169.0,64.0,55.0,100.0,14880.0,66.0,13.0,376.0,943.0,13.0
2023-12-04,1045.0,6483.0,5323.0,1522.0,5616.0,28.264,46.224,53.0,165.0,65.0,32.0,99.0,6960.0,62.0,5.0,411.0,1074.0,14.0
2023-12-05,686.0,10740.0,9386.0,3144.0,1819.0,23.111,8.113,54.0,165.0,65.0,30.0,89.0,15180.0,42.0,5.0,379.0,815.0,13.0
2023-12-06,770.0,3362.0,2779.0,133.0,5390.0,0.0,2.784,61.0,158.0,65.0,63.0,93.0,7740.0,27.0,14.0,357.0,1280.0,14.0
2023-12-07,616.0,2180.0,1785.0,0.0,4155.0,3.048,0.0,80.0,168.0,72.0,-1.0,,4620.0,33.0,26.0,417.0,1181.0,15.0
2023-12-08,726.0,6935.0,6115.0,1790.0,4415.0,18.971,38.615,61.0,174.0,67.0,79.0,79.0,4800.0,39.0,29.0,366.0,1101.0,13.0
2023-12-09,1094.0,10479.0,8915.0,1200.0,10535.0,34.224,8.947,79.0,172.0,68.0,74.0,99.0,12660.0,53.0,30.0,398.0,,14.0
2023-12-10,776.0,5916.0,4856.0,195.0,7006.0,17.299,22.919,73.0,157.0,69.0,49.0,90.0,12180.0,48.0,27.0,371.0,1498.0,13.0
2023-12-11,709.0,8286.0,7861.0,0.0,0.0,14.304,34.537,78.0,78.0,74.0,-1.0,,,18.0,15.0,374.0,1125.0,14.0
2023-12-12,41.0,1159.0,949.0,206.0,550.0,3.048,2.995,64.0,108.0,76.0,38.0,93.0,3120.0,22.0,15.0,374.0,,13.0
2023-12-13,1004.0,11454.0,10373.0,1492.0,7340.0,54.864,46.408,52.0,208.0,74.0,35.0,98.0,9360.0,76.0,8.0,376.0,,13.0
2023-12-14,953.0,11555.0,9855.0,901.0,8505.0,47.123,45.849,46.0,133.0,72.0,38.0,99.0,12480.0,83.0,5.0,388.0,,13.0
