activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
running,2024-01-11 18:45:01.000,00:04:52,46.51915842667222,6.634819842875004,2024-01-11 18:49:53,2024-01-11
running,2024-01-11 18:45:00.000,00:00:00,46.519161611795425,6.634823111817241,2024-01-11 18:45:00,2024-01-11
running,2024-01-11 18:42:33.000,00:01:37,46.52001840993762,6.637945203110576,2024-01-11 18:44:10,2024-01-11
running,2024-01-11 18:42:32.000,00:00:00,46.520025031641126,6.637943275272846,2024-01-11 18:42:32,2024-01-11
running,2024-01-11 18:36:34.000,00:00:00,,,2024-01-11 18:36:34,2024-01-11
multi_sport,,01:00:59,,,,
running,2024-01-11 18:36:34.000,00:05:31,46.52426216751337,6.647841297090054,2024-01-11 18:42:05,2024-01-11
running,2024-01-11 18:30:00.000,01:02:02,,,2024-01-11 19:32:02,2024-01-11
indoor_cycling,2024-01-10 21:04:15.000,01:01:43,,,2024-01-10 22:05:58,2024-01-10
indoor_running,2024-01-09 21:33:00.000,00:45:00,,,2024-01-09 22:18:00,2024-01-09
indoor_cycling,2024-01-07 20:04:37.000,01:00:16,,,2024-01-07 21:04:53,2024-01-07
running,2024-01-06 21:59:14.000,01:00:06,46.523959413170815,6.649378538131714,2024-01-06 22:59:20,2024-01-06
lap_swimming,2024-01-05 09:14:14.000,00:39:51,,,2024-01-05 09:54:05,2024-01-05
running,2024-01-04 21:35:50.000,00:45:33,46.52435696683824,6.64775806479156,2024-01-04 22:21:23,2024-01-04
lap_swimming,2024-01-03 19:04:02.000,01:15:37,,,2024-01-03 20:19:39,2024-01-03
indoor_cycling,2024-01-02 18:58:38.000,01:01:46,,,2024-01-02 20:00:24,2024-01-02
running,2024-01-01 19:49:58.000,00:45:09,46.52427306398749,6.648385617882013,2024-01-01 20:35:07,2024-01-01
lap_swimming,2023-12-29 19:52:02.000,00:24:03,,,2023-12-29 20:16:05,2023-12-29
lap_swimming,2023-12-29 19:31:09.000,00:15:21,,,2023-12-29 19:46:30,2023-12-29
basketball,2023-12-26 12:01:24.000,00:43:48,,,2023-12-26 12:45:12,2023-12-26
badminton,2023-12-26 08:41:05.000,01:24:34,,,2023-12-26 10:05:39,2023-12-26
running,2023-12-25 16:54:15.000,00:52:30,44.84183776192367,-0.6101564504206181,2023-12-25 17:46:45,2023-12-25
squash,2023-12-24 11:05:28.000,01:52:33,,,2023-12-24 12:58:01,2023-12-24
strength_training,2023-12-24 08:59:54.000,01:15:25,,,2023-12-24 10:15:19,2023-12-24
lap_swimming,2023-12-22 20:20:16.000,00:25:35,,,2023-12-22 20:45:51,2023-12-22
running,2023-12-22 15:19:18.000,00:40:12,46.52426032349467,6.648799013346434,2023-12-22 15:59:30,2023-12-22
swimming,2023-12-20 20:01:00.000,01:00:00,,,2023-12-20 21:01:00,2023-12-20
strength_training,2023-12-18 08:41:25.000,01:01:24,,,2023-12-18 09:42:49,2023-12-18
cycling,2023-12-16 15:04:13.000,01:06:58,46.52448386885226,6.647829143330455,2023-12-16 16:11:11,2023-12-16
indoor_running,2023-12-15 18:12:15.665,00:17:16,,,2023-12-15 18:29:31,2023-12-15
strength_training,2023-12-15 16:47:38.000,01:05:34,,,2023-12-15 17:53:12,2023-12-15
lap_swimming,2023-12-15 15:55:43.000,00:20:56,,,2023-12-15 16:16:39,2023-12-15
strength_training,2023-12-13 22:08:56.000,01:17:29,,,2023-12-13 23:26:25,2023-12-13
lap_swimming,2023-12-11 07:40:46.000,00:21:45,,,2023-12-11 08:02:31,2023-12-11
strength_training,2023-12-10 18:23:35.000,01:22:33,,,2023-12-10 19:46:08,2023-12-10
running,2023-12-07 18:00:33.000,00:31:02,46.52418119832873,6.648709159344435,2023-12-07 18:31:35,2023-12-07
strength_training,2023-12-06 21:12:50.000,02:02:20,,,2023-12-06 23:15:10,2023-12-06
walking,2023-11-20 09:01:44.000,00:05:20,46.521734269335866,6.574792340397835,2023-11-20 09:07:04,2023-11-20
walking,2023-11-18 13:45:42.000,00:29:05,46.47649479098618,6.394699942320585,2023-11-18 14:14:47,2023-11-18
walking,2023-11-18 12:16:17.000,00:55:16,46.476876586675644,6.3991672452539206,2023-11-18 13:11:33,2023-11-18
running,2023-11-18 09:39:58.000,00:35:24,46.6665440518409,6.525509264320135,2023-11-18 10:15:22,2023-11-18
strength_training,2023-11-17 16:50:31.000,01:13:22,,,2023-11-17 18:03:53,2023-11-17
walking,2023-11-17 15:28:35.000,00:05:22,46.52886366471648,6.624889969825745,2023-11-17 15:33:57,2023-11-17
paddelball,2023-11-17 13:02:35.000,02:17:55,,,2023-11-17 15:20:30,2023-11-17
volleyball,2023-11-15 19:11:58.000,02:05:01,,,2023-11-15 21:16:59,2023-11-15
strength_training,2023-11-15 17:21:57.000,00:50:36,,,2023-11-15 18:12:33,2023-11-15
running,2023-11-15 09:18:49.000,00:01:12,46.521845078095794,6.574159925803542,2023-11-15 09:20:01,2023-11-15
walking,2023-11-15 08:42:41.000,00:29:45,46.52187030762434,6.575330458581448,2023-11-15 09:12:26,2023-11-15
strength_training,2023-11-09 14:03:49.000,00:22:45,,,2023-11-09 14:26:34,2023-11-09
lap_swimming,2023-10-30 20:15:32.000,00:32:18,,,2023-10-30 20:47:50,2023-10-30
running,2023-10-29 13:20:57.000,00:36:42,46.52426300570369,6.648760121315718,2023-10-29 13:57:39,2023-10-29
running,2023-10-24 16:02:28.000,00:37:34,46.519326316192746,6.579831875860691,2023-10-24 16:40:02,2023-10-24
cycling,2023-10-22 14:48:06.000,01:32:05,46.52419041842222,6.648014886304736,2023-10-22 16:20:11,2023-10-22
lap_swimming,2023-10-17 05:33:35.000,00:41:37,,,2023-10-17 06:15:12,2023-10-17
running,2023-10-11 16:09:39.000,00:31:17,46.519297985360026,6.579893231391907,2023-10-11 16:40:56,2023-10-11
running,2023-10-10 15:49:20.000,00:43:05,46.514761447906494,6.601255601271987,2023-10-10 16:32:25,2023-10-10
lap_swimming,2023-10-09 07:23:00.000,00:49:32,,,2023-10-09 08:12:32,2023-10-09
cycling,2023-10-08 16:55:06.000,00:45:34,46.52412780560553,6.6486497316509485,2023-10-08 17:40:40,2023-10-08
running,2023-10-07 13:04:29.000,00:54:48,46.524184718728065,6.648740591481328,2023-10-07 13:59:17,2023-10-07
cycling,2023-10-05 10:27:10.000,00:27:48,46.521786069497466,6.568873291835189,2023-10-05 10:54:58,2023-10-05
cycling,2023-10-05 05:33:09.000,00:17:25,46.509828781709075,6.651723878458142,2023-10-05 05:50:34,2023-10-05
cycling,2023-10-03 15:09:48.000,00:23:12,46.52094729244709,6.586380572989583,2023-10-03 15:33:00,2023-10-03
cycling,2023-10-03 07:40:01.000,00:20:06,46.50980933569372,6.651168912649155,2023-10-03 08:00:07,2023-10-03
running,2023-10-02 18:13:07.000,00:48:34,46.50985308922827,6.651867376640439,2023-10-02 19:01:41,2023-10-02
cycling,2023-10-02 11:42:44.000,00:15:35,46.52427524328232,6.648683929815888,2023-10-02 11:58:19,2023-10-02
cycling,2023-09-29 11:24:18.000,00:22:43,46.52101677842438,6.573445703834295,2023-09-29 11:47:01,2023-09-29
cycling,2023-09-29 07:44:30.000,00:16:08,46.50652388110757,6.648909067735076,2023-09-29 08:00:38,2023-09-29
cycling,2023-09-28 08:01:54.000,00:23:29,46.52086582034826,6.573082767426968,2023-09-28 08:25:23,2023-09-28
cycling,2023-09-27 16:29:42.000,00:27:14,46.52101468294859,6.573608312755823,2023-09-27 16:56:56,2023-09-27
cycling,2023-09-27 05:56:10.000,00:16:22,46.524253534153104,6.648676805198193,2023-09-27 06:12:32,2023-09-27
running,2023-09-26 19:09:17.000,01:01:10,46.52431279420853,6.648726174607873,2023-09-26 20:10:27,2023-09-26
cycling,2023-09-26 16:06:06.000,00:20:52,46.52138985693455,6.583399632945657,2023-09-26 16:26:58,2023-09-26
cycling,2023-09-26 07:02:11.000,00:15:51,46.50645665824413,6.652117995545268,2023-09-26 07:18:02,2023-09-26
cycling,2023-09-25 15:09:17.000,00:45:15,46.5204166341573,6.571891866624355,2023-09-25 15:54:32,2023-09-25
lap_swimming,2023-09-25 07:05:00.000,00:17:14,,,2023-09-25 07:22:14,2023-09-25
cycling,2023-09-25 06:34:36.000,00:14:46,46.50973725132644,6.650080271065235,2023-09-25 06:49:22,2023-09-25
hiking,2023-09-24 14:15:10.000,02:23:10,46.448869965970516,6.979478253051639,2023-09-24 16:38:20,2023-09-24
lap_swimming,2023-09-22 07:13:52.000,00:33:43,,,2023-09-22 07:47:35,2023-09-22
cycling,2023-09-21 08:12:31.000,00:24:14,46.521017951890826,6.573393400758505,2023-09-21 08:36:45,2023-09-21
cycling,2023-09-21 05:39:49.000,00:16:15,46.52425370179117,6.648654593154788,2023-09-21 05:56:04,2023-09-21
cycling,2023-09-20 13:44:07.000,00:25:59,46.52008873410523,6.571833109483123,2023-09-20 14:10:06,2023-09-20
